1000.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,38838
185.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,32268
186.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,35147
192.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,33332
201.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,32362
205.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,32286
208.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,32363
521.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,31522
525.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,31531
526.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,31529
980.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,39439
989.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,39487
999.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,39523
1003.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,39557
180.xml	http://www.promedmail.org/pls/otn/f?p=2400:1202:4867270933510243::NO::F2400_P1202_CHECK_DISPLAY,F2400_P1202_PUB_MAIL_ID:X,20958
429.xml	http://www.redorbit.com/news/international/365177/bird_flu_confirmed_in_deaths_of_2_indonesian_children/
842.xml	http://www.reliefweb.int/rw/RWB.NSF/db900SID/VBOL-6MPKMK?OpenDocument
847.xml	http://www.redorbit.com/news/health/452795/bausch__lomb_responds_to_infection_in_lens_wearers/
916.xml	http://www.rense.com/general69/chinad.htm
761.xml	http://www.theage.com.au/news/world/bird-flu-found-in-romania/2005/12/30/1135732714873.html
834.xml	http://www.redorbit.com/news/health/440181/thailand_battles_major_outbreak_of_botulism/
699.xml	http://news.bbc.co.uk/2/hi/south_asia/4728952.stm
5.xml	http://news.bbc.co.uk/2/hi/uk_news/scotland/south_of_scotland/4797513.stm
552.xml	http://news.bbc.co.uk/2/low/health/4607370.stm
553.xml	http://news.bbc.co.uk/2/hi/europe/4605814.stm
700.xml	http://news.bbc.co.uk/2/hi/health/4787234.stm
701.xml	http://news.bbc.co.uk/2/hi/middle_east/4768318.stm
702.xml	http://news.bbc.co.uk/2/hi/americas/4803718.stm
714.xml	http://news.bbc.co.uk/2/hi/uk_news/england/cumbria/4864154.stm
724.xml	http://news.bbc.co.uk/2/hi/uk_news/england/lancashire/4813872.stm
738.xml	http://news.bbc.co.uk/2/hi/health/4696522.stm
317.xml	http://www.who.int/csr/don/2006_07_25/en/index.html
311.xml	http://www.who.int/csr/don/2006_10_16/en/index.html
